"정선해양관측","102-04","1978-06-16 10:20:00","129.615","36.0767","0","0","","33.64","1","17.68","1","5.7","1","0.07","1","8.5","2"
"정선해양관측","102-04","1978-06-16 10:20:00","129.615","36.0767","0","10","","33.84","1","17.13","1","6.19","1","0.07","1","",""
"정선해양관측","102-04","1978-06-16 10:20:00","129.615","36.0767","0","20","","33.75","1","16.8","1","6.11","1","0.05","1","",""
"정선해양관측","102-04","1978-06-16 10:20:00","129.615","36.0767","0","30","","33.85","1","13.2","1","4.9","1","0.27","1","",""
"정선해양관측","102-04","1978-06-16 10:20:00","129.615","36.0767","0","47","","33.97","1","12.73","1","4.88","1","0.36","1","",""
"정선해양관측","102-04","1978-07-09 08:50:00","129.615","36.0767","0","0","","33.32","1","18.52","1","5.61","1","0.3","1","11","2"
"정선해양관측","102-04","1978-07-09 08:50:00","129.615","36.0767","0","10","","34.07","1","15.08","1","6.12","1","0.64","1","",""
"정선해양관측","102-04","1978-07-09 08:50:00","129.615","36.0767","0","20","","34.46","1","9.65","1","","","0.2","1","",""
"정선해양관측","102-04","1978-07-09 08:50:00","129.615","36.0767","0","30","","34.46","1","7.37","1","6.91","1","1.07","1","",""
"정선해양관측","102-04","1978-07-09 08:50:00","129.615","36.0767","0","50","","34.41","1","4.9","1","5.2","1","1.48","1","",""
"정선해양관측","102-04","1978-08-13 13:40:00","129.615","36.0767","0","0","","33.43","1","20.26","1","5.5","1","0.27","1","4","2"
"정선해양관측","102-04","1978-08-13 13:40:00","129.615","36.0767","0","10","","34.13","1","14.25","1","4.75","1","0.7","1","",""
"정선해양관측","102-04","1978-08-13 13:40:00","129.615","36.0767","0","20","","34.38","1","13.07","1","3.51","1","0.93","1","",""
"정선해양관측","102-04","1978-08-13 13:40:00","129.615","36.0767","0","30","","34.49","1","12.08","1","3.61","1","0.86","1","",""
"정선해양관측","102-04","1978-08-13 13:40:00","129.615","36.0767","0","47","","34.32","1","8.52","1","3.9","1","1.07","1","",""
"정선해양관측","102-04","1978-10-19 09:35:00","129.615","36.0767","0","0","","33.3","1","19.65","1","","","","","12","2"
"정선해양관측","102-04","1978-10-19 09:35:00","129.615","36.0767","0","10","","33.41","1","19.8","1","","","","","",""
"정선해양관측","102-04","1978-10-19 09:35:00","129.615","36.0767","0","20","","33.5","1","19.42","1","","","","","",""
"정선해양관측","102-04","1978-10-19 09:35:00","129.615","36.0767","0","30","","33.47","1","19.08","1","","","","","",""
"정선해양관측","102-04","1978-10-19 09:35:00","129.615","36.0767","0","47","","33.63","1","11.14","1","","","","","",""
"정선해양관측","102-04","1978-12-09 07:25:00","129.615","36.0767","0","0","","34.19","1","14.78","1","","","","","",""
"정선해양관측","102-04","1978-12-09 07:25:00","129.615","36.0767","0","10","","34.25","1","14.16","1","","","","","",""
"정선해양관측","102-04","1978-12-09 07:25:00","129.615","36.0767","0","20","","99.999","4","12.87","1","","","","","",""
"정선해양관측","102-04","1978-12-09 07:25:00","129.615","36.0767","0","30","","34.44","1","12.67","1","","","","","",""
"정선해양관측","102-04","1978-12-09 07:25:00","129.615","36.0767","0","47","","34.4","1","12.15","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","0","","34.17","1","12.35","1","","","","","14","2"
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","10","","34.29","1","12.7","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","20","","34.2","1","12.8","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","30","","34.18","1","12.61","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","50","","34.07","1","12.79","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","75","","34.06","1","12.72","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","100","","34.04","1","12.09","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","125","","34.01","1","11.85","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","150","","33.98","1","9.07","1","","","","","",""
"정선해양관측","102-05","1978-02-20 11:25:00","129.6883","36.0767","0","205","","33.97","1","3.05","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","0","","34.5","1","9.42","1","","","","","14","2"
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","10","","34.51","1","11.78","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","20","","34.47","1","11.75","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","30","","34.48","1","11.4","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","50","","34.5","1","10.94","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","75","","34.29","1","10.7","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","100","","34.33","1","10.15","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","125","","34.33","1","9.9","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","150","","34.2","1","8.65","1","","","","","",""
"정선해양관측","102-05","1978-03-24 06:45:00","129.6883","36.0767","0","200","","34.12","1","9.62","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","0","","34.5","1","13.43","1","","","","","12","2"
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","10","","34.51","1","13.27","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","20","","34.51","1","13.13","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","30","","34.52","1","12.47","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","50","","34.52","1","10.81","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","75","","34.21","1","7.28","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","100","","34.33","1","4.07","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","125","","34.39","1","3.03","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","150","","34.07","1","2.33","1","","","","","",""
"정선해양관측","102-05","1978-04-12 09:05:00","129.6883","36.0767","0","205","","34.07","1","2.23","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","0","","34.26","1","14.69","1","","","","","8","2"
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","10","","34.29","1","14.59","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","20","","34.31","1","13.6","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","30","","34.31","1","13.25","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","50","","34.27","1","8.23","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","75","","34.2","1","6.68","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","100","","99.999","4","3.25","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","125","","34.44","1","1.58","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","150","","34.43","1","1.21","1","","","","","",""
"정선해양관측","102-05","1978-05-15 15:00:00","129.6883","36.0767","0","200","","34.01","1","0.98","1","","","","","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","0","","33.39","1","19.35","1","5.3","1","","","10","2"
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","10","","33.41","1","18.14","1","5.4","1","0.02","1","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","20","","99.999","4","16.58","1","6.02","1","","","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","30","","33.68","1","13.37","1","5.1","1","0.36","1","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","50","","33.89","1","13.36","1","4.91","1","0.36","1","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","75","","34.16","1","13.21","1","","","","","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","100","","34.09","1","8.33","1","4.81","1","0.95","1","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","125","","33.88","1","4.05","1","","","","","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","150","","33.8","1","2.16","1","4.9","1","","","",""
"정선해양관측","102-05","1978-06-16 11:05:00","129.6883","36.0767","0","205","","33.77","1","1.58","1","4.81","1","","","",""
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","0","","32.73","1","14.82","1","4.82","1","0.7","1","6","2"
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","10","","32.99","1","13.58","1","4.3","1","0.77","1","",""
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","20","","33.65","1","13.48","1","4.2","1","0.91","1","",""
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","30","","34.22","1","11.99","1","4.4","1","0.93","1","",""
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","50","","34.31","1","7.85","1","4.71","1","1.43","1","",""
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","100","","34.32","1","4.9","1","5.2","1","1.23","1","",""
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","150","","34.26","1","2.8","1","5.21","1","","","",""
"정선해양관측","102-05","1978-07-09 07:40:00","129.6883","36.0767","0","205","","34.27","1","1.52","1","5.02","1","","","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","0","","32.62","1","26","1","","","0.07","1","13","2"
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","10","","32.96","1","21.83","1","","","0.25","1","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","20","","33.59","1","19.4","1","","","0.36","1","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","30","","34.13","1","17.4","1","3.7","1","0.7","1","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","50","","34.31","1","14.97","1","3.31","1","0.77","1","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","75","","34.41","1","14.33","1","","","","","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","100","","34.44","1","13.28","1","3.7","1","0.84","1","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","125","","34.39","1","8.79","1","","","","","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","150","","34.32","1","4.24","1","4.81","1","","","",""
"정선해양관측","102-05","1978-08-13 14:20:00","129.6883","36.0767","0","205","","34.18","1","2.09","1","4.92","1","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","0","","33.52","1","20","1","","","","","17","2"
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","10","","33.98","1","20.43","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","20","","34.53","1","20.04","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","30","","34.34","1","17.64","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","50","","34.26","1","14.93","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","75","","34.15","1","14.81","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","100","","34.1","1","9.18","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","125","","33.4","1","6.75","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","150","","33.35","1","2.98","1","","","","","",""
"정선해양관측","102-05","1978-10-19 09:00:00","129.6883","36.0767","0","205","","33.32","1","1.53","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","0","","34.22","1","14.38","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","10","","34.26","1","14.22","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","20","","34.28","1","13.91","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","30","","34.34","1","12.15","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","50","","34.3","1","9.22","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","75","","34.2","1","5.85","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","100","","34.06","1","2.36","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","125","","33.93","1","1.38","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","150","","34.02","1","0.92","1","","","","","",""
"정선해양관측","102-05","1978-12-09 06:40:00","129.6883","36.0767","0","205","","34.07","1","0.83","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","0","","34.23","1","12.77","1","","","","","15","2"
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","10","","34.16","1","12.8","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","20","","34.12","1","12.83","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","30","","34.06","1","12.93","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","50","","34.15","1","12.9","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","75","","34.04","1","12.91","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","100","","34.99","1","12.81","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","125","","33.92","1","4.56","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","150","","33.91","1","2.03","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","200","","33.95","1","1.45","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","250","","33.91","1","1.08","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","300","","33.98","1","0.8","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","400","","33.96","1","0.75","1","","","","","",""
"정선해양관측","102-06","1978-02-20 12:10:00","129.7967","36.0767","0","500","","34.1","1","0.6","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","0","","34.41","1","10.51","1","","","","","14","2"
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","10","","34.44","1","11.3","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","20","","34.45","1","11.34","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","30","","34.43","1","11.38","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","50","","34.44","1","11.35","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","75","","34.44","1","11.46","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","100","","34.39","1","12.9","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","125","","34.26","1","10.24","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","150","","34.26","1","9.78","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","200","","34.11","1","7.39","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","250","","34.04","1","4.8","1","","","","","",""
"정선해양관측","102-06","1978-03-25 09:20:00","129.7967","36.0767","0","300","","34.96","1","3.5","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","0","","34.52","1","14.1","1","","","","","12","2"
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","10","","34.57","1","14.07","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","20","","34.52","1","13.7","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","30","","34.48","1","13.3","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","50","","34.49","1","13.05","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","75","","34.52","1","12.6","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","100","","34.34","1","12.12","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","125","","34.25","1","7.85","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","150","","34.16","1","3.43","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","200","","34","1","2.56","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","250","","33.98","1","1.57","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","300","","33.96","1","1.18","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","400","","34.05","1","0.6","1","","","","","",""
"정선해양관측","102-06","1978-04-12 09:50:00","129.7967","36.0767","0","500","","34.07","1","0.6","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","0","","34.17","1","15.45","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","10","","34.26","1","14.65","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","20","","34.45","1","14.31","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","30","","34.44","1","13.92","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","50","","34.36","1","13.69","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","75","","34.22","1","13.39","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","100","","34.33","1","13.37","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","125","","34.32","1","10.05","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","150","","34.14","1","5.66","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","200","","34.05","1","2.45","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","250","","34.01","1","3.21","1","","","","","",""
"정선해양관측","102-06","1978-05-15 04:00:00","129.7967","36.0767","0","300","","34.02","1","1.69","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","0","","33.32","1","18.19","1","","","","","15","2"
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","10","","33.52","1","17.45","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","20","","33.72","1","14.85","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","30","","33.89","1","14.25","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","50","","34.14","1","14.15","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","75","","34.18","1","14.06","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","100","","99.999","4","9.19","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","125","","33.99","1","6.69","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","150","","33.82","1","3.72","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","200","","33.77","1","1.91","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","250","","33.77","1","1.52","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","300","","33.78","1","1","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","400","","33.81","1","0.75","1","","","","","",""
"정선해양관측","102-06","1978-06-16 12:10:00","129.7967","36.0767","0","500","","33.87","1","0.62","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","0","","32.89","1","15.38","1","","","","","8","2"
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","10","","33.31","1","15.39","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","20","","33.63","1","14.45","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","30","","33.66","1","14.7","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","50","","34.18","1","9.45","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","100","","34.22","1","3.34","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","150","","34.23","1","2.12","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","200","","34.35","1","1.14","1","","","","","",""
"정선해양관측","102-06","1978-07-09 06:30:00","129.7967","36.0767","0","300","","34.37","1","0.94","1","","","","","",""
